,Unnamed: 0,DateTime,Junction,ID,WeekDay,Date,Month,Year,Time,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Weekend,Weekday,Time_GRP,Month_GRP,Z,B,C,Y,0,0,0
0,8856,7/1/2017 0:00,4,20170701004,1,1,7,2017,0,1,0,0,0,0,0,0,1,0,C,Z,1,0,1,0,6.0,5.82971695604,6.0
1,8857,7/1/2017 1:00,4,20170701014,1,1,7,2017,1,1,0,0,0,0,0,0,1,0,C,Z,1,0,1,0,6.0,5.82971695604,6.0
2,8858,7/1/2017 2:00,4,20170701024,1,1,7,2017,2,1,0,0,0,0,0,0,1,0,C,Z,1,0,1,0,6.0,5.82971695604,6.0
3,8859,7/1/2017 3:00,4,20170701034,1,1,7,2017,3,1,0,0,0,0,0,0,1,0,B,Z,1,1,0,0,3.5,3.48669170755,5.0
4,8860,7/1/2017 4:00,4,20170701044,1,1,7,2017,4,1,0,0,0,0,0,0,1,0,B,Z,1,1,0,0,3.5,3.48669170755,5.0
5,8861,7/1/2017 5:00,4,20170701054,1,1,7,2017,5,1,0,0,0,0,0,0,1,0,B,Z,1,1,0,0,3.5,3.48669170755,5.0
6,8862,7/1/2017 6:00,4,20170701064,1,1,7,2017,6,1,0,0,0,0,0,0,1,0,B,Z,1,1,0,0,3.5,3.48669170755,5.0
7,8863,7/1/2017 7:00,4,20170701074,1,1,7,2017,7,1,0,0,0,0,0,0,1,0,B,Z,1,1,0,0,3.5,3.48669170755,5.0
8,8864,7/1/2017 8:00,4,20170701084,1,1,7,2017,8,1,0,0,0,0,0,0,1,0,C,Z,1,0,1,0,6.0,5.82971695604,6.0
9,8865,7/1/2017 9:00,4,20170701094,1,1,7,2017,9,1,0,0,0,0,0,0,1,0,C,Z,1,0,1,0,6.0,5.82971695604,6.0
10,8866,7/1/2017 10:00,4,20170701104,1,1,7,2017,10,1,0,0,0,0,0,0,1,0,C,Z,1,0,1,0,6.0,5.82971695604,6.0
11,8867,7/1/2017 11:00,4,20170701114,1,1,7,2017,11,1,0,0,0,0,0,0,1,0,A,Z,1,0,0,0,12.0769230769,8.35307266289,8.0
12,8868,7/1/2017 12:00,4,20170701124,1,1,7,2017,12,1,0,0,0,0,0,0,1,0,A,Z,1,0,0,0,12.0769230769,8.35307266289,8.0
13,8869,7/1/2017 13:00,4,20170701134,1,1,7,2017,13,1,0,0,0,0,0,0,1,0,A,Z,1,0,0,0,12.0769230769,8.35307266289,8.0
14,8870,7/1/2017 14:00,4,20170701144,1,1,7,2017,14,1,0,0,0,0,0,0,1,0,A,Z,1,0,0,0,12.0769230769,8.35307266289,8.0
15,8871,7/1/2017 15:00,4,20170701154,1,1,7,2017,15,1,0,0,0,0,0,0,1,0,A,Z,1,0,0,0,12.0769230769,8.35307266289,8.0
16,8872,7/1/2017 16:00,4,20170701164,1,1,7,2017,16,1,0,0,0,0,0,0,1,0,A,Z,1,0,0,0,12.0769230769,8.35307266289,8.0
17,8873,7/1/2017 17:00,4,20170701174,1,1,7,2017,17,1,0,0,0,0,0,0,1,0,A,Z,1,0,0,0,12.0769230769,8.35307266289,8.0
18,8874,7/1/2017 18:00,4,20170701184,1,1,7,2017,18,1,0,0,0,0,0,0,1,0,A,Z,1,0,0,0,12.0769230769,8.35307266289,8.0
19,8875,7/1/2017 19:00,4,20170701194,1,1,7,2017,19,1,0,0,0,0,0,0,1,0,A,Z,1,0,0,0,12.0769230769,8.35307266289,8.0
20,8876,7/1/2017 20:00,4,20170701204,1,1,7,2017,20,1,0,0,0,0,0,0,1,0,A,Z,1,0,0,0,12.0769230769,8.35307266289,8.0
21,8877,7/1/2017 21:00,4,20170701214,1,1,7,2017,21,1,0,0,0,0,0,0,1,0,A,Z,1,0,0,0,12.0769230769,8.35307266289,8.0
22,8878,7/1/2017 22:00,4,20170701224,1,1,7,2017,22,1,0,0,0,0,0,0,1,0,A,Z,1,0,0,0,12.0769230769,8.35307266289,8.0
23,8879,7/1/2017 23:00,4,20170701234,1,1,7,2017,23,1,0,0,0,0,0,0,1,0,C,Z,1,0,1,0,6.0,5.82971695604,6.0
24,8880,7/2/2017 0:00,4,20170702004,2,2,7,2017,0,0,1,0,0,0,0,0,0,1,C,Z,1,0,1,0,8.25,7.25604540009,6.0
25,8881,7/2/2017 1:00,4,20170702014,2,2,7,2017,1,0,1,0,0,0,0,0,0,1,C,Z,1,0,1,0,8.25,7.25604540009,6.0
26,8882,7/2/2017 2:00,4,20170702024,2,2,7,2017,2,0,1,0,0,0,0,0,0,1,C,Z,1,0,1,0,8.25,7.25604540009,6.0
27,8883,7/2/2017 3:00,4,20170702034,2,2,7,2017,3,0,1,0,0,0,0,0,0,1,B,Z,1,1,0,0,5.0,4.9130201516,5.0
28,8884,7/2/2017 4:00,4,20170702044,2,2,7,2017,4,0,1,0,0,0,0,0,0,1,B,Z,1,1,0,0,5.0,4.9130201516,5.0
29,8885,7/2/2017 5:00,4,20170702054,2,2,7,2017,5,0,1,0,0,0,0,0,0,1,B,Z,1,1,0,0,5.0,4.9130201516,5.0
30,8886,7/2/2017 6:00,4,20170702064,2,2,7,2017,6,0,1,0,0,0,0,0,0,1,B,Z,1,1,0,0,5.0,4.9130201516,5.0
31,8887,7/2/2017 7:00,4,20170702074,2,2,7,2017,7,0,1,0,0,0,0,0,0,1,B,Z,1,1,0,0,5.0,4.9130201516,5.0
32,8888,7/2/2017 8:00,4,20170702084,2,2,7,2017,8,0,1,0,0,0,0,0,0,1,C,Z,1,0,1,0,8.25,7.25604540009,6.0
33,8889,7/2/2017 9:00,4,20170702094,2,2,7,2017,9,0,1,0,0,0,0,0,0,1,C,Z,1,0,1,0,8.25,7.25604540009,6.0
34,8890,7/2/2017 10:00,4,20170702104,2,2,7,2017,10,0,1,0,0,0,0,0,0,1,C,Z,1,0,1,0,8.25,7.25604540009,6.0
35,8891,7/2/2017 11:00,4,20170702114,2,2,7,2017,11,0,1,0,0,0,0,0,0,1,A,Z,1,0,0,0,10.5882352941,9.77940110694,9.0
36,8892,7/2/2017 12:00,4,20170702124,2,2,7,2017,12,0,1,0,0,0,0,0,0,1,A,Z,1,0,0,0,10.5882352941,9.77940110694,9.0
37,8893,7/2/2017 13:00,4,20170702134,2,2,7,2017,13,0,1,0,0,0,0,0,0,1,A,Z,1,0,0,0,10.5882352941,9.77940110694,9.0
38,8894,7/2/2017 14:00,4,20170702144,2,2,7,2017,14,0,1,0,0,0,0,0,0,1,A,Z,1,0,0,0,10.5882352941,9.77940110694,9.0
39,8895,7/2/2017 15:00,4,20170702154,2,2,7,2017,15,0,1,0,0,0,0,0,0,1,A,Z,1,0,0,0,10.5882352941,9.77940110694,9.0
40,8896,7/2/2017 16:00,4,20170702164,2,2,7,2017,16,0,1,0,0,0,0,0,0,1,A,Z,1,0,0,0,10.5882352941,9.77940110694,9.0
41,8897,7/2/2017 17:00,4,20170702174,2,2,7,2017,17,0,1,0,0,0,0,0,0,1,A,Z,1,0,0,0,10.5882352941,9.77940110694,9.0
42,8898,7/2/2017 18:00,4,20170702184,2,2,7,2017,18,0,1,0,0,0,0,0,0,1,A,Z,1,0,0,0,10.5882352941,9.77940110694,9.0
43,8899,7/2/2017 19:00,4,20170702194,2,2,7,2017,19,0,1,0,0,0,0,0,0,1,A,Z,1,0,0,0,10.5882352941,9.77940110694,9.0
44,8900,7/2/2017 20:00,4,20170702204,2,2,7,2017,20,0,1,0,0,0,0,0,0,1,A,Z,1,0,0,0,10.5882352941,9.77940110694,9.0
45,8901,7/2/2017 21:00,4,20170702214,2,2,7,2017,21,0,1,0,0,0,0,0,0,1,A,Z,1,0,0,0,10.5882352941,9.77940110694,9.0
46,8902,7/2/2017 22:00,4,20170702224,2,2,7,2017,22,0,1,0,0,0,0,0,0,1,A,Z,1,0,0,0,10.5882352941,9.77940110694,9.0
47,8903,7/2/2017 23:00,4,20170702234,2,2,7,2017,23,0,1,0,0,0,0,0,0,1,C,Z,1,0,1,0,8.25,7.25604540009,6.0
48,8904,7/3/2017 0:00,4,20170703004,3,3,7,2017,0,0,0,1,0,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24870093096,6.0
49,8905,7/3/2017 1:00,4,20170703014,3,3,7,2017,1,0,0,1,0,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24870093096,6.0
50,8906,7/3/2017 2:00,4,20170703024,3,3,7,2017,2,0,0,1,0,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24870093096,6.0
51,8907,7/3/2017 3:00,4,20170703034,3,3,7,2017,3,0,0,1,0,0,0,0,0,1,B,Z,1,1,0,0,3.71428571429,4.90567568247,5.0
52,8908,7/3/2017 4:00,4,20170703044,3,3,7,2017,4,0,0,1,0,0,0,0,0,1,B,Z,1,1,0,0,3.71428571429,4.90567568247,5.0
53,8909,7/3/2017 5:00,4,20170703054,3,3,7,2017,5,0,0,1,0,0,0,0,0,1,B,Z,1,1,0,0,3.71428571429,4.90567568247,5.0
54,8910,7/3/2017 6:00,4,20170703064,3,3,7,2017,6,0,0,1,0,0,0,0,0,1,B,Z,1,1,0,0,3.71428571429,4.90567568247,5.0
55,8911,7/3/2017 7:00,4,20170703074,3,3,7,2017,7,0,0,1,0,0,0,0,0,1,B,Z,1,1,0,0,3.71428571429,4.90567568247,5.0
56,8912,7/3/2017 8:00,4,20170703084,3,3,7,2017,8,0,0,1,0,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24870093096,6.0
57,8913,7/3/2017 9:00,4,20170703094,3,3,7,2017,9,0,0,1,0,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24870093096,6.0
58,8914,7/3/2017 10:00,4,20170703104,3,3,7,2017,10,0,0,1,0,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24870093096,6.0
59,8915,7/3/2017 11:00,4,20170703114,3,3,7,2017,11,0,0,1,0,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.77205663781,9.0
60,8916,7/3/2017 12:00,4,20170703124,3,3,7,2017,12,0,0,1,0,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.77205663781,9.0
61,8917,7/3/2017 13:00,4,20170703134,3,3,7,2017,13,0,0,1,0,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.77205663781,9.0
62,8918,7/3/2017 14:00,4,20170703144,3,3,7,2017,14,0,0,1,0,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.77205663781,9.0
63,8919,7/3/2017 15:00,4,20170703154,3,3,7,2017,15,0,0,1,0,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.77205663781,9.0
64,8920,7/3/2017 16:00,4,20170703164,3,3,7,2017,16,0,0,1,0,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.77205663781,9.0
65,8921,7/3/2017 17:00,4,20170703174,3,3,7,2017,17,0,0,1,0,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.77205663781,9.0
66,8922,7/3/2017 18:00,4,20170703184,3,3,7,2017,18,0,0,1,0,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.77205663781,9.0
67,8923,7/3/2017 19:00,4,20170703194,3,3,7,2017,19,0,0,1,0,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.77205663781,9.0
68,8924,7/3/2017 20:00,4,20170703204,3,3,7,2017,20,0,0,1,0,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.77205663781,9.0
69,8925,7/3/2017 21:00,4,20170703214,3,3,7,2017,21,0,0,1,0,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.77205663781,9.0
70,8926,7/3/2017 22:00,4,20170703224,3,3,7,2017,22,0,0,1,0,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.77205663781,9.0
71,8927,7/3/2017 23:00,4,20170703234,3,3,7,2017,23,0,0,1,0,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24870093096,6.0
72,8928,7/4/2017 0:00,4,20170704004,4,4,7,2017,0,0,0,0,1,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24135646183,6.0
73,8929,7/4/2017 1:00,4,20170704014,4,4,7,2017,1,0,0,0,1,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24135646183,6.0
74,8930,7/4/2017 2:00,4,20170704024,4,4,7,2017,2,0,0,0,1,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24135646183,6.0
75,8931,7/4/2017 3:00,4,20170704034,4,4,7,2017,3,0,0,0,1,0,0,0,0,1,B,Z,1,1,0,0,4.25,4.89833121334,5.0
76,8932,7/4/2017 4:00,4,20170704044,4,4,7,2017,4,0,0,0,1,0,0,0,0,1,B,Z,1,1,0,0,4.25,4.89833121334,5.0
77,8933,7/4/2017 5:00,4,20170704054,4,4,7,2017,5,0,0,0,1,0,0,0,0,1,B,Z,1,1,0,0,4.25,4.89833121334,5.0
78,8934,7/4/2017 6:00,4,20170704064,4,4,7,2017,6,0,0,0,1,0,0,0,0,1,B,Z,1,1,0,0,4.25,4.89833121334,5.0
79,8935,7/4/2017 7:00,4,20170704074,4,4,7,2017,7,0,0,0,1,0,0,0,0,1,B,Z,1,1,0,0,4.25,4.89833121334,5.0
80,8936,7/4/2017 8:00,4,20170704084,4,4,7,2017,8,0,0,0,1,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24135646183,6.0
81,8937,7/4/2017 9:00,4,20170704094,4,4,7,2017,9,0,0,0,1,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24135646183,6.0
82,8938,7/4/2017 10:00,4,20170704104,4,4,7,2017,10,0,0,0,1,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24135646183,6.0
83,8939,7/4/2017 11:00,4,20170704114,4,4,7,2017,11,0,0,0,1,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.76471216868,9.0
84,8940,7/4/2017 12:00,4,20170704124,4,4,7,2017,12,0,0,0,1,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.76471216868,9.0
85,8941,7/4/2017 13:00,4,20170704134,4,4,7,2017,13,0,0,0,1,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.76471216868,9.0
86,8942,7/4/2017 14:00,4,20170704144,4,4,7,2017,14,0,0,0,1,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.76471216868,9.0
87,8943,7/4/2017 15:00,4,20170704154,4,4,7,2017,15,0,0,0,1,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.76471216868,9.0
88,8944,7/4/2017 16:00,4,20170704164,4,4,7,2017,16,0,0,0,1,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.76471216868,9.0
89,8945,7/4/2017 17:00,4,20170704174,4,4,7,2017,17,0,0,0,1,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.76471216868,9.0
90,8946,7/4/2017 18:00,4,20170704184,4,4,7,2017,18,0,0,0,1,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.76471216868,9.0
91,8947,7/4/2017 19:00,4,20170704194,4,4,7,2017,19,0,0,0,1,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.76471216868,9.0
92,8948,7/4/2017 20:00,4,20170704204,4,4,7,2017,20,0,0,0,1,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.76471216868,9.0
93,8949,7/4/2017 21:00,4,20170704214,4,4,7,2017,21,0,0,0,1,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.76471216868,9.0
94,8950,7/4/2017 22:00,4,20170704224,4,4,7,2017,22,0,0,0,1,0,0,0,0,1,A,Z,1,0,0,0,10.4,9.76471216868,9.0
95,8951,7/4/2017 23:00,4,20170704234,4,4,7,2017,23,0,0,0,1,0,0,0,0,1,C,Z,1,0,1,0,7.85714285714,7.24135646183,6.0
96,8952,7/5/2017 0:00,4,20170705004,5,5,7,2017,0,0,0,0,0,1,0,0,0,1,C,Z,1,0,1,0,7.1,7.2340119927,6.0
97,8953,7/5/2017 1:00,4,20170705014,5,5,7,2017,1,0,0,0,0,1,0,0,0,1,C,Z,1,0,1,0,7.1,7.2340119927,6.0
98,8954,7/5/2017 2:00,4,20170705024,5,5,7,2017,2,0,0,0,0,1,0,0,0,1,C,Z,1,0,1,0,7.1,7.2340119927,6.0
99,8955,7/5/2017 3:00,4,20170705034,5,5,7,2017,3,0,0,0,0,1,0,0,0,1,B,Z,1,1,0,0,3.57142857143,4.89098674421,5.0
100,8956,7/5/2017 4:00,4,20170705044,5,5,7,2017,4,0,0,0,0,1,0,0,0,1,B,Z,1,1,0,0,3.57142857143,4.89098674421,5.0
101,8957,7/5/2017 5:00,4,20170705054,5,5,7,2017,5,0,0,0,0,1,0,0,0,1,B,Z,1,1,0,0,3.57142857143,4.89098674421,5.0
102,8958,7/5/2017 6:00,4,20170705064,5,5,7,2017,6,0,0,0,0,1,0,0,0,1,B,Z,1,1,0,0,3.57142857143,4.89098674421,5.0
103,8959,7/5/2017 7:00,4,20170705074,5,5,7,2017,7,0,0,0,0,1,0,0,0,1,B,Z,1,1,0,0,3.57142857143,4.89098674421,5.0
104,8960,7/5/2017 8:00,4,20170705084,5,5,7,2017,8,0,0,0,0,1,0,0,0,1,C,Z,1,0,1,0,7.1,7.2340119927,6.0
105,8961,7/5/2017 9:00,4,20170705094,5,5,7,2017,9,0,0,0,0,1,0,0,0,1,C,Z,1,0,1,0,7.1,7.2340119927,6.0
106,8962,7/5/2017 10:00,4,20170705104,5,5,7,2017,10,0,0,0,0,1,0,0,0,1,C,Z,1,0,1,0,7.1,7.2340119927,6.0
107,8963,7/5/2017 11:00,4,20170705114,5,5,7,2017,11,0,0,0,0,1,0,0,0,1,A,Z,1,0,0,0,10.7058823529,9.75736769955,9.0
108,8964,7/5/2017 12:00,4,20170705124,5,5,7,2017,12,0,0,0,0,1,0,0,0,1,A,Z,1,0,0,0,10.7058823529,9.75736769955,9.0
109,8965,7/5/2017 13:00,4,20170705134,5,5,7,2017,13,0,0,0,0,1,0,0,0,1,A,Z,1,0,0,0,10.7058823529,9.75736769955,9.0
110,8966,7/5/2017 14:00,4,20170705144,5,5,7,2017,14,0,0,0,0,1,0,0,0,1,A,Z,1,0,0,0,10.7058823529,9.75736769955,9.0
111,8967,7/5/2017 15:00,4,20170705154,5,5,7,2017,15,0,0,0,0,1,0,0,0,1,A,Z,1,0,0,0,10.7058823529,9.75736769955,9.0
112,8968,7/5/2017 16:00,4,20170705164,5,5,7,2017,16,0,0,0,0,1,0,0,0,1,A,Z,1,0,0,0,10.7058823529,9.75736769955,9.0
113,8969,7/5/2017 17:00,4,20170705174,5,5,7,2017,17,0,0,0,0,1,0,0,0,1,A,Z,1,0,0,0,10.7058823529,9.75736769955,9.0
114,8970,7/5/2017 18:00,4,20170705184,5,5,7,2017,18,0,0,0,0,1,0,0,0,1,A,Z,1,0,0,0,10.7058823529,9.75736769955,9.0
115,8971,7/5/2017 19:00,4,20170705194,5,5,7,2017,19,0,0,0,0,1,0,0,0,1,A,Z,1,0,0,0,10.7058823529,9.75736769955,9.0
116,8972,7/5/2017 20:00,4,20170705204,5,5,7,2017,20,0,0,0,0,1,0,0,0,1,A,Z,1,0,0,0,10.7058823529,9.75736769955,9.0
117,8973,7/5/2017 21:00,4,20170705214,5,5,7,2017,21,0,0,0,0,1,0,0,0,1,A,Z,1,0,0,0,10.7058823529,9.75736769955,9.0
118,8974,7/5/2017 22:00,4,20170705224,5,5,7,2017,22,0,0,0,0,1,0,0,0,1,A,Z,1,0,0,0,10.7058823529,9.75736769955,9.0
119,8975,7/5/2017 23:00,4,20170705234,5,5,7,2017,23,0,0,0,0,1,0,0,0,1,C,Z,1,0,1,0,7.1,7.2340119927,6.0
120,8976,7/6/2017 0:00,4,20170706004,6,6,7,2017,0,0,0,0,0,0,1,0,0,1,C,Z,1,0,1,0,8.09090909091,7.22666752357,6.0
121,8977,7/6/2017 1:00,4,20170706014,6,6,7,2017,1,0,0,0,0,0,1,0,0,1,C,Z,1,0,1,0,8.09090909091,7.22666752357,6.0
122,8978,7/6/2017 2:00,4,20170706024,6,6,7,2017,2,0,0,0,0,0,1,0,0,1,C,Z,1,0,1,0,8.09090909091,7.22666752357,6.0
123,8979,7/6/2017 3:00,4,20170706034,6,6,7,2017,3,0,0,0,0,0,1,0,0,1,B,Z,1,1,0,0,3.16666666667,4.88364227508,5.0
124,8980,7/6/2017 4:00,4,20170706044,6,6,7,2017,4,0,0,0,0,0,1,0,0,1,B,Z,1,1,0,0,3.16666666667,4.88364227508,5.0
125,8981,7/6/2017 5:00,4,20170706054,6,6,7,2017,5,0,0,0,0,0,1,0,0,1,B,Z,1,1,0,0,3.16666666667,4.88364227508,5.0
126,8982,7/6/2017 6:00,4,20170706064,6,6,7,2017,6,0,0,0,0,0,1,0,0,1,B,Z,1,1,0,0,3.16666666667,4.88364227508,5.0
127,8983,7/6/2017 7:00,4,20170706074,6,6,7,2017,7,0,0,0,0,0,1,0,0,1,B,Z,1,1,0,0,3.16666666667,4.88364227508,5.0
128,8984,7/6/2017 8:00,4,20170706084,6,6,7,2017,8,0,0,0,0,0,1,0,0,1,C,Z,1,0,1,0,8.09090909091,7.22666752357,6.0
129,8985,7/6/2017 9:00,4,20170706094,6,6,7,2017,9,0,0,0,0,0,1,0,0,1,C,Z,1,0,1,0,8.09090909091,7.22666752357,6.0
